# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri Oct 22 10:22:29 BRT 2021 [seed=1634908943568]
# -overwrite aln.AllBr.Major_Brazilian_clade.cd-hit.HKY+I+G4_StrictClock_Exponential_Assym-Phylogeography.xml
state	joint	prior	likelihood	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	pInv	default.clock.rate	local.clock.rate	default.meanRate	local.meanRate	local.rates.CentreWest.MG	local.rates.CentreWest.Northeast	local.rates.CentreWest.RJ	local.rates.CentreWest.SP	local.rates.CentreWest.South	local.rates.MG.Northeast	local.rates.MG.RJ	local.rates.MG.SP	local.rates.MG.South	local.rates.Northeast.RJ	local.rates.Northeast.SP	local.rates.Northeast.South	local.rates.RJ.SP	local.rates.RJ.South	local.rates.SP.South	local.rates.MG.CentreWest	local.rates.Northeast.CentreWest	local.rates.RJ.CentreWest	local.rates.SP.CentreWest	local.rates.South.CentreWest	local.rates.Northeast.MG	local.rates.RJ.MG	local.rates.SP.MG	local.rates.South.MG	local.rates.RJ.Northeast	local.rates.SP.Northeast	local.rates.South.Northeast	local.rates.SP.RJ	local.rates.South.RJ	local.rates.South.SP	local.indicators.CentreWest.MG	local.indicators.CentreWest.Northeast	local.indicators.CentreWest.RJ	local.indicators.CentreWest.SP	local.indicators.CentreWest.South	local.indicators.MG.Northeast	local.indicators.MG.RJ	local.indicators.MG.SP	local.indicators.MG.South	local.indicators.Northeast.RJ	local.indicators.Northeast.SP	local.indicators.Northeast.South	local.indicators.RJ.SP	local.indicators.RJ.South	local.indicators.SP.South	local.indicators.MG.CentreWest	local.indicators.Northeast.CentreWest	local.indicators.RJ.CentreWest	local.indicators.SP.CentreWest	local.indicators.South.CentreWest	local.indicators.Northeast.MG	local.indicators.RJ.MG	local.indicators.SP.MG	local.indicators.South.MG	local.indicators.RJ.Northeast	local.indicators.SP.Northeast	local.indicators.South.Northeast	local.indicators.SP.RJ	local.indicators.South.RJ	local.indicators.South.SP	local.nonZeroRates	default.treeLikelihood	default.branchRates	local.branchRates	c_local.count[1]	coalescent
10000	-54250.2205407888	-2609.2818087227424	-51640.93873206606	2021.3082197193908	45.8880541916188	2.3471820043201797E7	52.717399344781455	4.776321956272043	0.29313363574667617	0.18245883165033702	0.19375302737925715	0.33065450522372947	1.0894365266141295	0.8851673821879121	8.31110819583967E-4	1.2787983151461682	8.311108195839688E-4	1.27879831514617	1.195245928702684	0.4314973256268537	0.44130550020295534	0.5148037765349497	0.02861948623580682	0.4621784726317416	0.5194109896135994	0.8817569575847509	0.7780019968000663	0.7192285888039898	1.9883159066117853	0.20358776807153192	7.214337458943992	1.2177633044406813	0.526377593559595	0.7249981451244393	0.635781346132576	1.103720367410816	1.0295320892921305	0.35439515919034725	0.3031654702488262	4.698665726523121	0.2617754056133507	0.6833820269663012	3.2401458285823694	0.9498157320731587	0.2115144366678189	0.22191497558871587	1.0417622735691727	1.6164913245298203	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	16.0	-51177.83329249815	0.0	0.0	154.0	-2442.6384717066467
11000	-54163.08857154345	-2556.5899495246167	-51606.49862201883	2021.2794957080387	47.02599436097339	6934289.106633589	48.958512862885726	5.235990690740693	0.29604271743194854	0.18418240481034195	0.19325446776654795	0.3265204099911614	0.8142831644501939	0.8851673821879121	8.034907854444869E-4	1.4093763649196809	8.034907854444858E-4	1.4093763649196793	0.2530596809473584	0.37508889735762035	1.5708167368321486	0.636329752838793	0.03151244431680181	0.3277525633518053	1.4913100012506002	3.67362031781005	1.0240250294929567	0.22300445392408763	1.6926827527418906	0.23333513296578756	5.443918035722877	0.6572588791757913	0.21984432690632355	0.3493808457948078	0.7018109362155881	1.4495872527585763	2.7365779198475786	0.8436105403597629	0.1217319255707965	2.913667729257625	0.33833148911625033	4.4269730565796666	2.160062039711135	0.5867173940090518	0.07476279639505806	0.014002879548169207	0.6786080934929664	2.119969610918858	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	17.0	-51168.49276318701	0.0	0.0	149.0	-2383.3216315743816
12000	-54025.62681638567	-2362.6746585442006	-51662.95215784147	2021.30966895108	41.34160405594745	2502670.9178241557	46.41925552840535	4.6407946457490805	0.29474409417536573	0.18408313794541734	0.19062120559298285	0.33055156228623395	0.8380556159226341	0.8691570231942476	8.175891799909841E-4	1.3801786515112957	8.175891799909861E-4	1.3801786515112984	0.5946569448513519	0.34737422748536867	1.8953282013927484	1.3147416651754538	0.2944408053886371	0.7415106598866282	0.8618574305208061	1.1452026880783932	0.8697388138315932	0.5130152336552037	0.8522505785775095	1.165091334495715	2.927135846333458	0.28402505304333314	0.8994371323856662	0.1810436488189936	2.29265028538859	1.6369202614927032	0.9889200900675938	0.09778095312617911	0.17562333968454644	3.79256683284756	0.46150054619545394	1.7808787718879826	1.967408518407642	0.5819754208975855	0.5963127195499599	0.020264834830369085	0.5540849906402667	0.8883245113463251	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	12.0	-51189.80858348538	0.0	0.0	147.0	-2214.366349680347
13000	-53774.286780771676	-2140.5904829364654	-51633.69629783521	2021.3054566775752	45.42904521064501	1183384.4128030892	46.34185520149639	4.742177064233708	0.2946652008380354	0.184202288099693	0.19467330044011857	0.32645921062215294	1.4190425867422423	0.8890257073651742	8.012397027994798E-4	1.305082328985144	8.012397027994791E-4	1.3050823289851416	0.8511636389230892	0.23122068925609351	1.7153518721368974	0.2889661594655793	0.5142538192855471	0.6241997613219755	1.0614253203986939	1.2688710609816671	0.3895395990719256	0.7662263880109552	0.36006706783841086	0.3857222099009508	3.9963871681835044	0.2899026018190995	2.6505950697762195	0.12560969122185545	1.092263601394669	1.0747673021898911	1.2811272299272474	0.6959813703853893	0.40044221100239985	2.713567220778546	0.51052640959351	1.056065418320943	2.8534002673935444	1.0229214193168572	0.7543673733046417	0.17322656872717024	0.4185156740191617	1.466153176062	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	16.0	-51157.772316284325	0.0	0.0	153.0	-1985.2050332125539
14000	-54408.40921418367	-2768.2115668551905	-51640.19764732848	2021.2072054646885	45.767756987609246	416983.968706549	42.01092457253896	4.843300563300982	0.2902627824732969	0.1863885689880272	0.1930648729570632	0.33028377558161265	1.077589925360354	0.8797056282514637	8.77140106290168E-4	1.3308478102408001	8.771401062901675E-4	1.3308478102408006	0.4591531511146567	0.5263179539220748	4.1897360274510795	0.7542584710273184	0.47716305004650056	0.7021579712988514	1.2809574152034058	0.7061616352330169	1.08599509292094	2.559644218242013	0.5749623903696681	0.3940659338386242	5.2210520307605135	0.6344320574555923	0.9918626959205944	0.050597794485505464	0.6973677970823425	0.9244874352370208	1.0988619889941187	2.467303922112935	0.5503969055269777	5.284169565776325	0.48972273753413775	1.681475033500771	2.0055956568755198	0.6959316346081853	0.9598679323825243	0.1713761297249163	0.4945091208111281	2.7902681273851524	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	13.0	-51174.51466783323	0.0	0.0	156.0	-2610.631303558697
15000	-53517.758211424276	-1882.4553116065988	-51635.302899817674	2021.2914044887973	46.29854980281311	64937.936576168424	38.570222425816326	5.065881793712664	0.2957002167447725	0.17968269287110794	0.19761277941204827	0.3270043109720713	1.1309254799066932	0.8821999818328966	8.008115829298707E-4	1.256056111092965	8.008115829298696E-4	1.256056111092963	0.8034140546847226	0.05552264201022051	1.9158420050856553	1.1877955961163553	2.0053128184065687	0.5931627941991274	1.3545305929433724	0.6420303895094556	0.9035059651687691	2.293825639206695	0.14787480070003345	0.22479993796306771	8.815731388078373	1.3736432205878328	0.1779112392980539	0.5499426874146075	0.5114513992824193	0.8782897333845554	1.9723015435267992	8.540083513863365	0.41370098544310474	4.998753465688769	0.5017920556205498	2.156939162536669	3.6808218351986475	1.287214172862859	1.1669133851198175	1.6148812910754564	0.2929405740078282	2.330065558701894	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	17.0	-51197.87174924439	0.0	0.0	136.0	-1715.8112350901397
16000	-53197.882148815865	-1573.8663826175803	-51624.01576619828	2021.2548809708308	45.471753512176505	10797.19664874871	31.91755201275983	4.657838390096713	0.2925018499427269	0.18213559289172823	0.19642640929802396	0.3289361478675209	1.1564130563294228	0.8971487851106226	8.757284587568932E-4	1.3835142124521247	8.757284587568918E-4	1.3835142124521225	1.6114323651263556	0.1343553402599428	5.191775790289914	0.3265822462531185	4.342016649733079	0.15450002597257464	0.6564900879466607	0.7696608566647454	1.1639089655090316	1.1999894445179629	0.5675019891067342	0.3562044072433237	5.825741297118052	0.5313196940076294	0.05217920097332482	0.5820015750766876	1.1556576023080047	1.5251272365082074	1.3424700266792011	3.549311429434095	0.16671878834194948	4.41287853094359	0.778344085167074	1.4184871631704365	2.633285668292244	3.3566898736710202	0.21789277385857744	1.145231448056259	0.06773617990063123	0.6340547613279456	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	12.0	-51158.480709948635	0.0	0.0	168.0	-1423.9108675678272
17000	-53012.60913179793	-1389.5892187800027	-51623.019913017924	2021.282051740874	41.44274820120262	4397.379766735953	28.45816413714815	5.234095918639537	0.30063271368065986	0.18551968996037208	0.18995420835133173	0.32389338800763634	1.1261307894819514	0.8759093835736076	8.445984097801122E-4	1.3681128940600216	8.4459840978011E-4	1.36811289406002	0.5808927132977698	0.13907747120222563	0.6525013559357281	1.1150229487347554	0.9658922301355857	0.08984286621969394	0.7414011727782471	3.037451637564111	0.7467228649648527	0.3092430921090912	0.10337065783499785	1.0263630867363642	6.075312644425904	0.38559971447286384	0.06384903974494137	0.15885964854374915	0.40577338683080627	1.3718710063865822	0.24109190750933676	2.0620720535233716	0.22536379585985997	2.4247054541386834	1.6925246732012902	1.7338297126366051	1.8200946624030505	0.6898565633234561	0.7645232500088152	0.6981983738920394	0.1293345251377984	1.5147113432783377	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	15.0	-51165.71508432393	0.0	0.0	140.0	-1260.8828494170934
18000	-53067.38303823303	-1365.6907204779595	-51701.69231775507	2021.3208481150139	44.62943987588284	2191.7392863631812	26.23816536376383	5.515310407602638	0.2932282060707463	0.1838963598227263	0.19295058114631897	0.32992485296020846	0.8926241661032002	0.888389386876465	8.42269178790452E-4	1.5243312756639273	8.422691787904523E-4	1.5243312756639296	0.7810607531950255	0.021386756030411222	0.23471030874344673	0.19539109405031732	0.4279639547319721	0.2853910251760219	0.9997212643446898	2.418493054902199	0.46792489661469755	0.13550809486497295	0.09826977185619491	0.5399327436841216	3.8519763456384317	0.4643250982572011	0.3528267509928639	0.04064031362189442	0.9840404741940527	0.7111861123302855	0.27210803858297644	1.748815579055778	0.1305217441060846	2.0135288964622613	0.7306685024508588	2.8797108976159396	1.2301447519704813	3.5056866849967196	0.7983460146708605	2.011436633109651	0.12644924601190408	1.2862522863324832	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	13.0	-51227.97873526278	0.0	0.0	170.0	-1233.2929748104366
19000	-53068.86338277285	-1431.431180709158	-51637.43220206369	2021.2992861896862	49.013318388478034	1130.9529344149973	22.48069588505761	4.7024046674344	0.29505040747645217	0.17873028997739288	0.19072469190686445	0.3354946106392906	0.9408916430991343	0.8900534303351321	8.191139372925534E-4	1.56375673225036	8.19113937292555E-4	1.563756732250364	0.6199605321893208	0.029842414864528048	0.09897100213668643	0.24552065810759918	0.5163550177968563	0.30302577844948303	0.994232876520942	1.778172377000408	0.31812672600574754	0.19492928624966627	0.34649424939198736	0.90063205783216	2.8483781127770604	0.7949846945012962	0.1854545398724336	0.14307035766218926	1.0636684235769114	0.7758846922179958	0.21355180043383	2.8312465550724464	0.2895673097631704	1.9697631233774793	0.5812092977448214	2.9745064318609247	1.50756238921982	2.7040807231038118	2.098896711961336	0.21557736950223103	0.08405185813507306	0.9716106938092998	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	14.0	-51189.51564100153	0.0	0.0	159.0	-1295.1142223007828
