# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri Oct 22 10:22:29 BRT 2021 [seed=1634908943568]
# -overwrite aln.AllBr.Major_Brazilian_clade.cd-hit.HKY+I+G4_StrictClock_Exponential_Assym-Phylogeography.xml
state	joint	prior	likelihood	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	pInv	default.clock.rate	local.clock.rate	default.meanRate	local.meanRate	local.rates.CentreWest.MG	local.rates.CentreWest.Northeast	local.rates.CentreWest.RJ	local.rates.CentreWest.SP	local.rates.CentreWest.South	local.rates.MG.Northeast	local.rates.MG.RJ	local.rates.MG.SP	local.rates.MG.South	local.rates.Northeast.RJ	local.rates.Northeast.SP	local.rates.Northeast.South	local.rates.RJ.SP	local.rates.RJ.South	local.rates.SP.South	local.rates.MG.CentreWest	local.rates.Northeast.CentreWest	local.rates.RJ.CentreWest	local.rates.SP.CentreWest	local.rates.South.CentreWest	local.rates.Northeast.MG	local.rates.RJ.MG	local.rates.SP.MG	local.rates.South.MG	local.rates.RJ.Northeast	local.rates.SP.Northeast	local.rates.South.Northeast	local.rates.SP.RJ	local.rates.South.RJ	local.rates.South.SP	local.indicators.CentreWest.MG	local.indicators.CentreWest.Northeast	local.indicators.CentreWest.RJ	local.indicators.CentreWest.SP	local.indicators.CentreWest.South	local.indicators.MG.Northeast	local.indicators.MG.RJ	local.indicators.MG.SP	local.indicators.MG.South	local.indicators.Northeast.RJ	local.indicators.Northeast.SP	local.indicators.Northeast.South	local.indicators.RJ.SP	local.indicators.RJ.South	local.indicators.SP.South	local.indicators.MG.CentreWest	local.indicators.Northeast.CentreWest	local.indicators.RJ.CentreWest	local.indicators.SP.CentreWest	local.indicators.South.CentreWest	local.indicators.Northeast.MG	local.indicators.RJ.MG	local.indicators.SP.MG	local.indicators.South.MG	local.indicators.RJ.Northeast	local.indicators.SP.Northeast	local.indicators.South.Northeast	local.indicators.SP.RJ	local.indicators.South.RJ	local.indicators.South.SP	local.nonZeroRates	default.treeLikelihood	default.branchRates	local.branchRates	c_local.count[1]	coalescent
529000	-52986.39230922736	-1317.3416203289403	-51669.050688898424	2021.3185249442442	41.92643797287778	467.7577104942029	19.302142594837118	5.810475985575298	0.294375972960801	0.1773513284408086	0.19457799693459932	0.33369470166379095	1.2673609997234518	0.8929563237232545	8.270218035075441E-4	1.321558339092767	8.270218035075453E-4	1.3215583390927683	0.30269114085536597	2.2854604415109057	0.6028909458770781	0.6121767947115594	1.067042704612137	0.0822216100186547	1.6544964041424959	0.8726341913560584	0.43178921308219015	1.3552725273327109	0.7194837029937564	1.4363948477191695	7.053075766896333	0.9365366887356998	0.06189791373631332	1.0007719957901384	0.3608468086241367	0.2169348970836314	0.8761538996851421	0.27021426815718297	0.9389769239855013	3.5192931231016815	0.2064541536466128	0.11808722995528512	5.0182173748700505	0.9885962403543049	0.9876917103300547	0.37592303785834996	3.2796534901843266	0.21731399286396755	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	17.0	-51180.29199415725	0.0	0.0	154.0	-1192.6403291649408
530000	-52931.49008670505	-1297.9747798578915	-51633.51530684716	2021.2901980410106	41.33782112361002	381.4971441766091	18.188754457514687	4.569205765724486	0.29786951547873236	0.18160190596563439	0.19108445441666783	0.3294441241389651	1.1283722002353636	0.8893663011707339	8.04569405113814E-4	1.270413728856768	8.045694051138135E-4	1.2704137288567672	0.5244729353534553	2.1723162748304494	0.20839140440288112	0.39757804598149954	0.7729921408694845	0.09573943783535656	0.5623812670148572	0.8185024041127004	1.1178423570692004	1.067943087878969	1.1974502829310163	2.747903375417546	6.572913287287435	1.6039797830934945	0.05014296628575466	0.7147857912510274	0.9742113798136374	0.19853508869570263	0.9903080137150426	0.3686521624327452	0.3628471692119824	4.54731233457	0.31747968287900363	0.023416876660513567	2.8320873256074095	1.2009339379109731	0.48447129313094955	0.6731191642392065	1.201268078539912	0.05939113435744973	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	15.0	-51150.05726888926	0.0	0.0	154.0	-1183.4888993571215
531000	-52938.80277315611	-1295.1756180061914	-51643.627155149916	2021.3270800112596	42.34367122546286	1725.9725627616872	25.71054380319425	5.638510620166548	0.2967837075130326	0.1817828819134367	0.19334643909786506	0.32808697147566535	2.2195104872052305	0.9166725518281386	8.412792135304172E-4	1.4020950831515395	8.412792135304186E-4	1.4020950831515395	0.20654672438425736	1.6278161804114228	0.12111565439677661	0.15131401430232796	1.0438097717363366	0.09399630758222262	0.6618043060479484	0.5751609771840192	0.7025529657044162	0.6390483157650795	1.5570754047826896	1.324078339442521	4.804042493833848	0.6567894580738853	0.08459065804184193	0.6532522090619123	0.6889114623298963	0.26484611206337233	1.7290588840050456	2.27099875528563	0.15631633153813454	1.7296835087760967	0.8833132399445444	0.09594877471020286	1.3735766306230288	0.5429742335482427	0.3683156782961138	0.3434325296243109	2.171670255464712	0.024990013698974255	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	13.0	-51185.77881023874	0.0	0.0	156.0	-1171.7314665324077
532000	-52916.95800496465	-1302.4115830653627	-51614.546421899286	2021.3186075190022	43.56918247863273	296.63145890835784	17.915439335510214	4.860884733546273	0.29672617175132493	0.18131040447892144	0.19238657668269246	0.3295768470870608	1.1836827141777964	0.8820196446968843	8.759307647545687E-4	1.5777731206349281	8.759307647545709E-4	1.577773120634927	0.18081340458333933	2.1567972499112376	0.31537739128367254	0.05509633465125511	0.2978931029176297	0.1209799424914777	0.3723375637504581	2.3409386026583845	0.2072378708012248	0.9280165145913736	1.3859651714948447	1.85810264942017	3.3687591763762836	0.2275385233909583	0.7895685226371253	1.0319346027502139	3.503075072584528	0.22750811259909637	0.6486075957321304	0.947419743478443	0.1857600318495527	1.227894608184854	1.6400888444040373	0.2357262997213325	1.5196518607025264	3.0836133339412486	0.33961300463116967	0.10571468830444317	3.9864787439399874	0.050563744133946785	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	13.0	-51178.35537878265	0.0	0.0	160.0	-1175.5966638046573
533000	-52939.11727893283	-1311.8626497963069	-51627.25462913652	2021.2925258363323	45.155780511882334	218.140355487057	16.63321990205988	5.552091337987971	0.2942583884932994	0.18025283242379592	0.19280042724120502	0.3326883518416993	1.2246833471400578	0.8906518777990415	8.325287118359562E-4	1.361591702755	8.32528711835957E-4	1.3615917027550037	0.4931359625574535	0.45170101271104834	0.6680058224076191	0.10710539001489527	0.25773715806058517	0.16174394659442612	0.30766202892128347	4.338590578700057	0.6304211775572579	0.5890233119876315	1.4211898212448846	2.8837933026400933	4.647513772996649	0.21373931727676732	0.1441072102673174	2.7893695928194413	0.6280042372242886	0.100548101963516	2.0448326717324945	1.9681333054295767	0.42834573184243546	1.9865399179849408	1.2559571969520844	0.10550924813203183	1.3052346640293953	2.4800399293811477	0.4532245467091294	0.19913318069552505	2.1808126018038108	0.03158898569939419	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	12.0	-51158.751282242185	0.0	0.0	159.0	-1192.7391863497523
534000	-53084.81232127153	-1396.6988794978888	-51688.11344177364	2021.227835524579	47.72161843999342	232.6257336558633	17.85481635982982	4.900776562706193	0.2942583884932994	0.18025283242379592	0.19280042724120502	0.3326883518416993	1.2279564655198183	0.8994604764340975	8.631649726820682E-4	1.5170401308944248	8.631649726820694E-4	1.5170401308944221	0.16395179888270428	1.1490783858216767	1.0097180650439035	0.3709642005441827	0.3656911333545818	1.1311007450443853	2.177345582233962	2.5471975091007923	1.2051170609202126	0.4580739896527078	0.4276726146330485	1.8000258273702148	5.516493335010846	0.7763746863741265	0.3509029525895114	2.49297503158882	0.2209117859455868	0.17431660269128188	1.0432272233837014	2.940205696452905	0.3165009141430067	3.2483941368821045	1.5714877745163827	0.4041299618245928	3.193829962998691	0.9067255578691908	0.4009946887081334	0.24503089548819182	0.6301580284274239	0.017709593590910327	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	15.0	-51210.60684375565	0.0	0.0	161.0	-1260.454213902802
535000	-52943.277922265355	-1308.0272782237641	-51635.25064404159	2021.2965531001742	45.54726727296171	535.6000260143303	21.176915997864256	4.827013638910045	0.29899504412669026	0.18025283242379592	0.19280042724120502	0.32795169620830844	1.1677442775664724	0.8959543495293025	8.033365829044908E-4	1.5127907909289884	8.033365829044908E-4	1.5127907909289893	0.1289092724816358	1.9719262933150137	0.5238353439931317	1.0551735804627973	0.6498379957293637	0.7755790129770773	0.7642674133744523	1.0797009939600497	0.28768433730399895	0.15236796669927424	0.6188634755557268	2.4006257185794455	4.731088119221911	0.7207716694692021	0.8705713559454902	1.156730458884781	0.12655278507688517	0.26708472657991095	1.062782936024298	1.7053787600449275	0.9782478756043622	2.753554089595935	0.4141739989079322	0.32390866408924673	1.5258126626200723	1.1303071269885856	0.6960522869545632	0.9319672563062619	0.8117061980879409	0.1408362755180479	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	12.0	-51179.98433131518	0.0	0.0	157.0	-1180.821752949862
536000	-52996.76535773722	-1344.4907145445616	-51652.27464319266	2021.2522626110353	45.51877804297766	548.3094665195338	19.697626952986383	4.364478633828568	0.2971014272500891	0.18251283690996795	0.19243403963163414	0.32795169620830844	0.6504651059091198	0.8826661504910592	8.254648377641082E-4	1.4671712253637768	8.254648377641093E-4	1.467171225363777	0.6231312064805651	1.7081940113353662	0.32236511020516273	1.5239774670127435	0.6178469268641436	0.15131102904063887	0.9447707381287482	0.6448222413257915	0.9085450605561594	0.3405120580371339	0.8015635091928396	0.8725001337427111	3.6370278422438775	0.3456280462285628	0.532325819941211	0.6807948812376093	0.03575010740056025	0.4886865427202453	0.8828642725872987	1.7655975619086093	0.9566709324522066	3.4534691991364026	0.9113810651132803	0.22981348259425904	1.8476375134291887	2.2819022752988363	0.9055776228089407	0.36628661909973	0.7637990561728896	0.2646806950609518	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	14.0	-51187.20505193607	0.0	0.0	161.0	-1221.0064624801023
537000	-52924.96725032915	-1313.60017123204	-51611.36707909711	2021.3005999522322	42.31387501375646	661.1858698741729	23.007812607958073	5.25776314520409	0.2961696313858733	0.17994244636770335	0.1903181528480631	0.33356976939835986	1.129585728296158	0.883102441803759	8.384265003076309E-4	1.6375416622800687	8.384265003076306E-4	1.6375416622800714	1.2423793578614974	2.350716834930721	1.1609973252352361	1.3150195446676394	0.31914940112119905	0.04163991692449041	0.2402954123157368	0.5086838585854699	0.6537906882896976	1.203133734457502	0.48438563840189464	0.4048464057918307	6.809580782289589	1.4892916222242953	0.627172426582617	0.40465975937628174	0.24812842800429194	1.395724129027033	3.8629571225271184	0.8508439624406576	1.6143297700776447	3.2937970979998674	0.3080996429536344	0.4315784810873988	2.199415562219323	1.1905041997803358	1.7779497316357875	0.15272855229405155	2.303151738539378	0.322002010303752	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	19.0	-51172.84678436085	0.0	0.0	148.0	-1167.3092464812987
538000	-52997.224764714534	-1354.5748376761317	-51642.6499270384	2021.2988047649721	43.81570304502476	680.4950823110923	20.04266296795377	4.533987421778648	0.2974639253033384	0.17786099881106324	0.18886188069141846	0.33581319519417957	1.0607596896604636	0.8981810151194998	8.076929806174247E-4	1.4420152562860924	8.076929806174244E-4	1.442015256286089	4.991509118933416	2.6851408972590507	0.4879701663870044	1.7339411684517576	1.1288473132343317	0.03893969829542358	0.5276181625744563	0.7154891324401492	1.0675186957158465	0.4995873047391211	0.9447751258541338	0.3361608100424832	7.197859820412383	0.8600837733036496	0.6051205882901809	1.0968910943783865	0.4234151475692034	0.6641910209021887	1.4889159433881294	0.16770510245690862	6.967527883440303	4.204758094419813	0.3040589466571125	1.4595692876164148	2.7637674175259312	1.090624908702337	0.871742082975999	0.5956001079336901	2.0494118769968415	0.22932527677077943	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	14.0	-51186.74806182879	0.0	0.0	160.0	-1214.860742460418
539000	-52926.23692940919	-1288.2824616118978	-51637.954467797295	2021.3222586422642	40.29449145510158	388.3043475306756	19.227776497371682	4.9724637367861755	0.3007118013334241	0.18151617369761522	0.19319684834786638	0.3245751766210939	1.3252300967434947	0.8934818827681358	8.065367780339771E-4	1.7080092300178942	8.065367780339777E-4	1.7080092300178957	2.9472493360042966	2.6989327116209028	0.4471475423246346	0.8902579863565889	0.7921839675209452	0.025929368059255088	2.1161360353184486	0.5642259161794303	0.6387778678786954	0.5158864912539578	0.5235090461962715	0.05849080246251589	6.590806477769862	0.9095737449821594	0.35816023107998823	0.5223147298233196	0.4093388892511244	1.1776473359564519	1.3439379455950633	0.22707283587186022	3.5480237428267496	4.002403013506021	0.24979308008042286	2.86376470102444	4.583617834487477	0.5855341148081129	0.43123927254150274	0.8528120138922727	1.8862662174761569	0.073304739517495	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	15.0	-51187.61277366201	0.0	0.0	151.0	-1147.7882091901322
540000	-52977.490691245046	-1355.083086459647	-51622.407604785396	2021.2611099107876	46.476897850579185	643.8739359937883	21.11071182141208	4.98818132795242	0.29106508151051935	0.18270405371310897	0.19642587999771793	0.3298049847786534	1.4041785023053148	0.9018531382881572	8.10522021302991E-4	1.652608054042234	8.105220213029901E-4	1.652608054042236	7.299243013037759	1.4184840506998961	2.2700891392535514	0.3546175443283281	1.121794831026269	0.07127665215467505	0.5742928918362896	0.6053913353812532	0.5940160646751168	1.2223827671184915	2.1411454568717785	0.09379324326603426	3.1100385984906342	0.1672299770385405	0.5279738897832831	1.0387500850954596	0.1771354026581201	0.28272220795313646	0.179273131804034	0.7734427479374875	0.9804152573988069	2.1939758694041904	0.5775667332120392	1.5188511945161993	1.7675913700314352	0.34563629794352335	0.24681412042003445	0.19988945119421547	0.5294512256337804	0.03532885662765174	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	17.0	-51161.91106672459	0.0	0.0	156.0	-1212.1698326242602
541000	-52926.54047388401	-1289.975903216609	-51636.5645706674	2021.2609836599838	43.6736473773374	236.26641312300083	18.057745000168282	4.862314687326425	0.2910166567901624	0.18582632162253576	0.19443254203287125	0.3287244795544301	1.2228474894238017	0.9043541164552095	8.889420069767691E-4	1.280978632579506	8.889420069767701E-4	1.280978632579506	7.427977527060846	1.8673801589505625	1.593907428626052	0.5074195033217953	1.23235576564196	0.05062968295143306	0.4950230223663837	0.2687458767045197	0.5960906264901894	1.5275396152529548	3.639142965180851	0.06082104090091394	4.623890440583174	0.16092922743164004	0.37259412881860193	0.4904956620430603	0.3493348912845724	0.17334602278506686	0.31129495866279094	1.1604941572422562	0.9794080639682676	2.153485424961558	0.6976960938021021	1.9613550472967778	1.4241399870893672	0.24680458551826184	0.11357565367888629	0.3360934223077247	0.8679970868409969	0.056339869371950464	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	13.0	-51167.465058474365	0.0	0.0	155.0	-1173.6629083480655
542000	-53021.268111760946	-1360.7525557157378	-51660.51555604521	2021.2609391786784	48.12738484293957	383.8904923739715	17.9097088620666	4.57722545548897	0.29829746234633575	0.17926120244292038	0.1937168556563133	0.3287244795544301	1.0011042829358772	0.896307704352601	8.431396449967022E-4	1.2975433497165518	8.431396449967017E-4	1.2975433497165523	1.2629641819940338	0.5304760087520638	0.4691713661211514	0.12330346416418916	3.0048167155409207	0.285583397942294	1.5014766923826237	0.5839642098650498	0.45563119514401706	3.3665311938458817	2.6595732272475385	0.024006946562431682	5.7402989641407745	0.33607134644091835	0.36257187008250347	0.8428090048863816	0.7805765497232036	0.18988640412493427	0.5053044818663117	1.1430826767248918	0.9895181238939481	1.3035040161459663	0.8982704820685796	2.211502560786568	1.1690525846715412	0.5994485219784137	0.5498849836302929	0.4806101607253532	1.2288165065504408	0.17205779147166914	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	15.0	-51208.32851818569	0.0	0.0	153.0	-1238.0145070783544
543000	-52968.887210770656	-1307.5113428225839	-51661.375867948074	2021.2862896823458	42.67077656805337	481.6546917674516	19.628148972337947	5.0090717025596305	0.29825727013820524	0.18171569027520318	0.19390398000845968	0.3261230595781314	1.0988702814607247	0.8850246634521765	8.074719181751808E-4	1.2257662298025591	8.074719181751812E-4	1.2257662298025591	2.7076799131368743	0.21277597421169675	1.529256242494781	0.7065770691755636	1.5514430230603535	0.1346123739212046	0.5643749497399722	1.0132068674843022	0.5705704206605172	1.5595242123576842	2.102783477073816	0.029304410092832096	6.719651808149052	0.7642636988782651	0.8181636276710318	1.2323845366208064	0.28091517637101904	0.5222723647511719	0.6977267404575532	0.13801190825058357	1.58496043132592	4.844770694230068	1.0093580867522023	1.4724363003573238	4.238778467393562	1.0000951407884535	1.454767812582667	1.2580417663414083	1.4847916149546403	0.7928163977318142	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	15.0	-51203.75415729142	0.0	0.0	139.0	-1183.3953318987922
544000	-52941.626201382875	-1315.3272244614946	-51626.29897692138	2021.282549973679	43.35740274708551	594.5890184308196	20.788910470700262	5.095258226369974	0.29499813631618077	0.18079997578325566	0.19272898952817702	0.331472898372386	0.9738435672177878	0.8953760840199655	8.097959069098005E-4	1.5200096386794892	8.097959069097988E-4	1.5200096386794888	0.39484277466793893	0.12016970344007621	4.147212364531976	0.1544854658998575	2.0873336798280233	2.79754420121357	0.7241801370356796	1.1500094364367388	0.36147854027252735	1.896465326029886	2.4195021213782484	0.0681431053032678	2.2518274787776167	0.2144944400571784	1.0265182212220778	0.6212290613647401	0.24824808505649057	0.7715263596833902	0.33829904542206085	0.1212248920032733	3.272117952002573	1.2535521574578161	0.6421156366102632	1.816853179177239	0.8412605425284099	0.2969104876783314	1.1232072650569267	0.48511909052933094	1.0043945585392673	0.8173666473677585	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	12.0	-51181.83198115898	0.0	0.0	159.0	-1188.9795956770977
545000	-53115.533089547556	-1481.8529777935735	-51633.68011175398	2021.2793521779688	45.09412867348073	3689.6898064849124	28.580596170448718	4.977713883546024	0.2962243586199794	0.1805037668440938	0.19595836698717356	0.32731350754875266	1.0908537957699094	0.8953760840199655	8.525357107310349E-4	1.313637519952905	8.52535710731035E-4	1.3136375199529047	0.28473002855344165	0.08182887639618577	4.896971339454674	0.24896597252410485	2.536310922795571	0.5710581290969152	0.5499722105665713	0.8210185379938099	0.20602184148269634	2.139136103133061	1.9111490675606362	0.06721423660936779	1.7839091311241013	0.30725843169524786	3.051939351728505	1.3844562879875166	0.3214494255608577	0.53607558724121	0.2944873901822589	0.1048799644774382	5.050970569648695	1.4660822755178873	1.5340241140917747	1.1183861440797545	0.7574951752488824	0.25402503523474573	0.956410431226819	0.609136859785941	0.3369475245283275	0.4694071167662253	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	11.0	-51166.59810800143	0.0	0.0	156.0	-1352.1370751917923
546000	-53040.65245354047	-1388.0138301394377	-51652.63862340103	2021.3002538466867	46.03806093945808	2334.218761447265	25.26058532572526	4.76620662104719	0.29541303432576604	0.18495098088513998	0.19351604453808618	0.3261199402510072	1.011401815557451	0.8948058066587337	8.664243354554102E-4	1.4814831101719685	8.664243354554088E-4	1.4814831101719665	0.32624460812053235	0.13265531975189476	4.417776882865479	0.6356882078589217	3.9985575219037384	0.4646573354722603	0.7638890379649758	1.1862414108353136	0.22051448244402197	2.554875885217547	1.9355107910207288	0.05969876200241895	2.2116223027436495	0.2900773970252218	3.5159213646494476	1.707913486141611	0.5277763846962032	0.5966956390694572	0.30727150214364374	0.13902729148657694	3.990229070611254	1.5252916923772635	1.4524370624759062	1.497617588134575	1.0387385647305705	0.1913068680031834	0.8680263769823485	0.7797732092254244	0.28029583313140893	0.42277330616231357	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	13.0	-51206.61173182671	0.0	0.0	153.0	-1248.0589343220945
547000	-53013.01328732921	-1365.9860257669943	-51647.027261562216	2021.1888150885727	45.64561999500111	750.7094006864808	21.41587956730557	5.892075042406032	0.29541303432576604	0.18185160693296165	0.19207096944422936	0.3306643892970424	1.2469579398605648	0.8933284970816617	8.097484497935807E-4	1.3185370109738992	8.097484497935806E-4	1.318537010973898	0.4445799284152435	0.20349137075866552	4.346473434860838	1.1129335728012943	2.584710411016918	0.362804859364211	0.33348688773994783	0.9887993210366561	0.20144098020768872	2.4195589339307944	1.6474869575772413	0.057358384007359195	2.5244004934912856	0.3469951857567102	2.6545264320903206	2.246654329022525	0.6136009212031542	0.45934052947485987	0.17536862899720673	0.3463175471797802	2.8330177671709253	1.5694747854377555	3.7511227491721844	1.9474709286741811	0.9177842753570877	0.384504628588668	0.6852409610631822	0.5275672215170917	0.30444381534888937	0.33396515540644456	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	14.0	-51171.547485285155	0.0	0.0	152.0	-1237.994192877848
548000	-53001.3034490692	-1358.1863943358524	-51643.117054733346	2021.2986541568198	45.596587174429196	651.027636077576	22.50870007396795	5.20825470564145	0.2954333234742662	0.18185160693296165	0.19207096944422936	0.33064410014854223	0.8419938883998835	0.885709384106204	8.358258010262399E-4	1.2530819596640121	8.358258010262412E-4	1.2530819596640137	0.2179525929598129	0.4350664358447782	0.7905112954478971	0.6839084445414094	1.4125014945356211	0.3958829027469538	0.14675455709325513	0.4506064148048757	0.7548354856109027	4.638063388945708	0.27812893085897367	0.04669134560568471	3.8576115130412503	0.7186495766545251	3.385496003860695	3.5195481154705917	0.36280606927010717	0.4829271070325616	1.5161735732725015	0.24704367031927607	1.236832422144089	3.1268908352636613	1.2757639031914003	3.950117023179356	3.043203037738963	0.10100013181262447	0.6724723703026284	0.5828537539101365	0.06704328626132554	0.4675805305177827	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	12.0	-51179.25928932977	0.0	0.0	163.0	-1233.7529429982098
549000	-52904.5296192364	-1316.6951377249554	-51587.83448151144	2021.305223742865	45.74890398986137	616.9232221610362	21.285467595794167	4.52880479727314	0.29477558625007216	0.17979705154076833	0.19272870666842337	0.3326986555407356	1.0118482249677005	0.8892715021389435	8.029397221487036E-4	1.4370902484333228	8.02939722148704E-4	1.4370902484333261	0.3665331061529092	0.3962833222633515	1.1581928030915514	0.7553019249536564	0.9223597529208835	0.2387398193436902	0.3077682850235704	0.48739414316024937	0.987915127942404	1.9610798557555724	0.26645198437228884	0.04082947721127739	3.9446652431089904	0.7359206570696915	2.8567473615153003	1.9725242301804826	0.6310329422768367	0.6095279698033406	1.7080492283759159	0.3971710589572504	0.43318709678295303	2.745845209474242	1.071970773848682	3.3553861695235194	1.933638786916542	0.11530467620322055	1.039851895273057	0.2819150696221075	0.07268162764205482	0.5157303996005471	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	12.0	-51127.67393789339	0.0	0.0	158.0	-1191.2697582792402
550000	-53012.70128934799	-1368.3187188876818	-51644.38257046031	2021.242964396106	49.39336768286034	279.5578304181177	15.781576921542474	5.09477295997995	0.29308570707609427	0.18401851420325838	0.19019712317991122	0.3326986555407356	0.9699701731577467	0.8763473769685992	8.863494077584347E-4	1.1760326406646864	8.863494077584324E-4	1.1760326406646844	1.6848756597247168	1.3906837374475767	1.2325242177120814	0.6785821487941515	0.4728690370705035	0.26547537388538767	0.17336134659519245	0.533994197182949	0.5645231660223353	2.9021750403053526	0.08537477036714998	0.22082175333518206	4.770379587728848	0.5135821237041122	1.5168147173673905	0.3678136180050201	1.317907461806218	1.0995702319278866	0.294678738689906	0.24076591159023725	2.697626090763031	3.9872191343587975	0.93727904938621	0.5979300408741113	1.4798136454668551	0.5813726026499779	0.9166208859174173	0.41630971479069345	0.09910661315690555	1.4220800117726302	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	14.0	-51193.688238712224	0.0	0.0	147.0	-1253.7702475528101
